data,canal,tema,resumo,resolvido
2025-09-15,chat,CDB,Cliente perguntou sobre rentabilidade e prazos,sim
2025-09-22,telefone,Problema no app,Erro ao visualizar extrato foi corrigido,sim
2025-10-01,chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,sim
2025-10-12,chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,sim
2025-10-25,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
2025-10-28,chat,CDB,Cliente comparou CDB com poupança,sim
2025-11-02,telefone,Problema no app,Erro ao fazer login foi reportado,sim
2025-11-05,chat,Tesouro Selic,Cliente quis saber sobre liquidez diária,sim
2025-11-10,email,Metas financeiras,Cliente revisou planejamento mensal,sim
2025-11-15,chat,Investimentos,Cliente pediu orientação geral sobre investimentos,sim
2025-11-20,telefone,Problema no app,Aplicativo apresentou lentidão,sim
2025-11-25,email,Atualização cadastral,Cliente alterou endereço,sim
2025-12-01,chat,CDB,Cliente perguntou sobre rendimento líquido,sim
2025-12-05,chat,Tesouro Selic,Cliente questionou segurança do investimento,sim
2025-12-10,email,Metas financeiras,Cliente ajustou meta de economia,sim
2025-12-15,telefone,Problema no app,Erro ao acessar saldo foi resolvido,sim
2025-12-20,chat,Investimentos,Cliente quis entender diversificação,sim
2025-12-22,email,Atualização cadastral,Cliente atualizou dados pessoais,sim
2025-12-28,chat,CDB,Cliente perguntou sobre prazo mínimo,sim
2026-01-03,telefone,Problema no app,Erro intermitente no sistema,sim
